==============================================================================
【机器人概念】PE 历史分位扫描 (近十年) — 按分位升序
共 461 只,有效估值 455 只,分位<= 100.0% 命中 455 只
扫描时间: 2026-06-09 11:14 BJT
==============================================================================
代码      名称            当前PE    历史分位      区间低       中位       区间高     今日%      市值亿
688059  华锐精密          51.9   82.2%     14.4     37.4      74.5   0.02%      173
605133  嵘泰股份          52.0   82.2%     18.6     37.3      78.6   1.34%       99
300007  汉威科技          85.2   82.6%     17.1     38.6     252.6   3.64%      147
300735  光弘科技          60.5   82.7%     16.9     35.5     103.9  -0.40%      163
600775  南京熊猫         290.3   83.1%     33.5    117.0    7181.7   1.54%       96
301007  德迈仕          101.4   83.5%     25.6     50.5     146.2   0.40%       51
688626  翔宇医疗          96.1   83.8%     17.5     41.4     188.8   0.45%       78
603135  中重科技         155.4   83.8%     27.5     49.2     186.4  -4.67%       93
688609  九联科技          68.3   84.0%     28.0     43.5      95.7  -0.09%       59
688308  欧科亿           78.2   84.4%     12.4     31.1     615.4   1.02%      237
688379  华光新材          57.3   84.5%     13.9     29.9     283.3   1.97%       76
002957  科瑞技术          76.3   84.5%     17.1     41.1     294.7   0.35%      228
300058  蓝色光标         211.7   84.6%     14.2     31.2    3811.9   1.99%      551
603809  豪能股份          34.2   85.0%     12.8     23.2      48.4  -0.39%       94
301013  利和兴          216.5   85.3%     54.4     97.4     532.4   7.83%      128
301280  珠城科技          37.1   85.4%     18.0     28.8      45.5  -0.02%       78
300322  硕贝德          217.2   85.5%      3.1    101.6     444.2   1.33%      133
002975  博杰股份         106.4   85.7%     19.6     38.9     417.7   5.00%      260
002171  楚江新材          54.9   85.8%     11.2     31.8     144.2  -0.30%      214
688160  步科股份         150.6   85.9%     22.7     55.6     241.8  -6.14%      106
688360  德马科技          59.0   85.9%     17.6     30.0      90.4  -1.82%       58
002272  川润股份         247.1   85.9%     18.4     49.2     351.3   8.62%       96
603496  恒为科技         142.5   86.0%     24.6     58.3    1678.3   0.23%       69
300440  运达科技          96.6   86.0%     19.1     34.9     298.9   0.22%       81
300278  华昌达          543.7   86.0%     17.4     96.1    1951.7   1.53%       66
301368  丰立智能        3053.7   86.2%     39.6    278.4    4389.9  -2.18%       58
688320  禾川科技         177.7   86.3%     26.2     72.2     245.0   0.26%       58
688090  瑞松科技         427.1   86.4%     32.5     72.3    7799.1   3.49%      133
603738  泰晶科技         249.3   86.5%     18.9     58.5    6496.9   2.05%      169
002334  英威腾           51.4   86.5%     11.7     26.8      97.0  -0.22%       73
300718  长盛轴承          88.0   87.0%     15.2     31.2     139.1  -3.68%      222
300433  蓝思科技          65.4   87.2%     10.3     31.8    2349.6  -0.40%     2242
002046  国机精工         198.9   87.2%     16.6     54.0     437.2   0.12%      324
301363  美好医疗          49.6   87.3%     24.2     41.4      77.1  -1.16%      141
300766  每日互动         722.6   87.7%     33.3     95.2    1234.1   0.98%       94
300552  万集科技         256.1   87.7%      5.4     70.0     771.0  -0.39%       60
301260  格力博           97.2   87.9%     42.7     64.1     111.6   0.44%       77
688698  伟创电气          55.0   87.9%     19.8     36.6      91.7  -1.89%      137
600580  卧龙电驱          53.8   88.2%      9.4     20.4     153.9  -2.74%      593
003021  兆威机电         120.1   88.5%     23.5     74.2     185.1  -2.51%      282
300296  利亚德           77.8   88.5%     10.0     40.4    3457.3  -0.56%      192
000048  京基智农          51.1   88.5%      4.2     13.2    2115.0   6.99%       84
002434  万里扬           45.8   88.6%     15.2     29.5      82.5   0.84%       94
